Epochs,learning-rate
0.15,0.0003
0.3,0.0003
0.45,0.0003
0.6,0.0003
0.75,0.0003
0.9,0.0003
1.05,0.0003
1.2,0.0003
1.35,0.0003
1.5,0.0003
1.65,0.0003
1.8,0.0003
1.95,0.0003
2.1,0.0003
2.25,0.0003
2.4,0.0003
2.55,0.0003
2.7,0.0003
2.85,0.0003
3,0.0003
3.15,0.0003
3.3,0.0003
3.45,0.0003
3.6,0.0003
3.75,0.0003
3.9,0.0003
4.05,0.0003
4.2,0.0003
4.35,0.0003
4.5,0.0003
4.65,0.0003
4.8,0.0003
4.95,0.0003
5.1,0.0003
5.25,0.0003
5.4,0.0003
5.55,0.0003
5.7,0.0003
5.85,0.0003
6,0.0003
6.15,0.0003
6.3,0.0003
6.45,0.0003
6.6,0.0003
6.75,0.0003
6.9,0.0003
7.05,0.0003
7.2,0.0003
7.35,0.0003
7.5,0.0003
7.65,0.0003
7.8,0.0003
7.95,0.0003
8.1,0.0003
8.25,0.0003
8.4,0.0003
8.55,0.0003
8.7,0.0003
8.85,0.0003
9.01,0.0003
9.16,0.0003
9.31,0.0003
9.46,0.0003
9.61,0.0003
9.76,0.0003
9.91,0.0003
10.06,0.0003
10.21,0.0003
10.36,0.0003
10.51,0.0003
10.66,0.0003
10.81,0.0003
10.96,0.0003
11.11,0.0003
11.26,0.0003
11.41,0.0003
11.56,0.0003
11.71,0.0003
11.86,0.0003
12.01,0.0003
12.16,0.0003
12.31,0.0003
12.46,0.0003
12.61,0.0003
12.76,0.0003
12.91,0.0003
13.06,0.0003
13.21,0.0003
13.36,0.0003
13.51,0.0003
13.66,0.0003
13.81,0.0003
13.96,0.0003
14.11,0.0003
14.26,0.0003
14.41,0.0003
14.56,0.0003
14.71,0.0003
14.86,0.0003
