epoch,loss
0.12,1.4425
0.24,1.1339
0.36,1.1118
0.48,1.0969
0.6,1.029
0.72,1.0712
0.84,1.0032
0.96,0.9887
1.08,0.9185
1.2,0.9078
1.32,0.8916
1.44,0.8619
1.56,0.9088
1.68,0.8606
1.8,0.8593
1.92,0.875
2.04,0.8221
2.16,0.7274
2.28,0.7376
2.4,0.7598
2.52,0.7265
2.64,0.7777
2.76,0.749
2.88,0.7493
3,0.7355
3.12,0.6021
3.24,0.6232
3.36,0.6098
3.48,0.6374
3.61,0.6246
3.73,0.6371
3.85,0.634
3.97,0.6169
4.09,0.538
4.21,0.4856
4.33,0.514
4.45,0.4982
4.57,0.5189
4.69,0.5131
4.81,0.5135
4.93,0.5272
5.05,0.4582
5.17,0.3969
5.29,0.4021
5.41,0.4109
5.53,0.411
5.65,0.4058
5.77,0.4126
5.89,0.4138
6.01,0.4138
6.13,0.3185
6.25,0.3251
6.37,0.3359
6.49,0.3241
6.61,0.3378
6.73,0.3371
6.85,0.3345
6.97,0.3366
7.09,0.2811
7.21,0.2735
7.33,0.2695
7.45,0.2754
7.57,0.2759
7.69,0.2775
7.81,0.2793
7.93,0.274
8.05,0.2588
8.17,0.2293
8.29,0.232
8.41,0.2308
8.53,0.2339
8.65,0.2363
8.77,0.2293
8.89,0.2373
9.01,0.2287
9.13,0.2014
9.25,0.197
9.37,0.2007
9.49,0.2029
9.61,0.2032
9.73,0.2074
9.85,0.2002
9.97,0.2003
10.09,0.1819
10.21,0.1796
10.33,0.1779
10.45,0.1798
10.57,0.1849
10.69,0.1758
10.82,0.1834
10.94,0.1785
11.06,0.1763
11.18,0.1643
11.3,0.1685
11.42,0.1678
11.54,0.1644
11.66,0.1701
11.78,0.1653
11.9,0.1691
