epoch,loss
0.12,1.6483
0.24,1.0298
0.36,1.0027
0.48,0.9708
0.6,0.9144
0.72,0.9517
0.84,0.8945
0.96,0.8806
1.08,0.8442
1.2,0.8381
1.32,0.8171
1.44,0.7901
1.56,0.8261
1.68,0.7811
1.8,0.7826
1.92,0.7891
2.04,0.7604
2.16,0.6947
2.28,0.7039
2.4,0.7197
2.52,0.6809
2.64,0.7294
2.76,0.6975
2.88,0.6992
3,0.6878
3.12,0.6104
3.24,0.6175
3.36,0.5983
3.48,0.6191
3.61,0.5962
3.73,0.6137
3.85,0.6028
3.97,0.5842
4.09,0.5471
4.21,0.501
4.33,0.5228
4.45,0.5079
4.57,0.5287
4.69,0.5143
4.81,0.5131
4.93,0.5271
5.05,0.4711
5.17,0.4291
5.29,0.4272
5.41,0.4382
5.53,0.4304
5.65,0.4329
5.77,0.4356
5.89,0.4338
6.01,0.4392
6.13,0.3467
6.25,0.3561
6.37,0.3616
6.49,0.358
6.61,0.361
6.73,0.361
6.85,0.372
6.97,0.3609
7.09,0.3116
7.21,0.2953
7.33,0.3028
7.45,0.3041
7.57,0.3002
7.69,0.3055
7.81,0.3031
7.93,0.3081
8.05,0.2791
8.17,0.2567
8.29,0.2589
8.41,0.2541
8.53,0.2605
8.65,0.2592
8.77,0.2597
8.89,0.2643
9.01,0.2566
9.13,0.227
9.25,0.2264
9.37,0.2297
9.49,0.2286
9.61,0.2328
9.73,0.2337
9.85,0.2296
9.97,0.2321
10.09,0.2149
10.21,0.2129
10.33,0.21
10.45,0.2105
10.57,0.2123
10.69,0.2122
10.82,0.2141
10.94,0.2099
11.06,0.2083
11.18,0.1994
11.3,0.2041
11.42,0.2035
11.54,0.2022
11.66,0.2032
11.78,0.2022
11.9,0.2031
